date,index,date_time,trading_symbol,type,option_type,strike,open,high,low,close,volume,open_interest,expiry_date
2026-04-15,NIFTY,2026-04-15 09:47:00+05:30,NIFTY 50,SPOT,,,24223.05,24224.9,24215.3,24218.65,0,,
2026-04-15,NIFTY,2026-04-15 09:48:00+05:30,NIFTY 50,SPOT,,,24218.0,24218.5,24194.95,24199.5,0,,
2026-04-15,NIFTY,2026-04-15 09:49:00+05:30,NIFTY 50,SPOT,,,24199.55,24200.7,24193.1,24193.1,0,,
2026-04-15,NIFTY,2026-04-15 09:50:00+05:30,NIFTY 50,SPOT,,,24192.4,24195.75,24186.7,24188.65,0,,
2026-04-15,NIFTY,2026-04-15 09:51:00+05:30,NIFTY 50,SPOT,,,24188.0,24198.3,24188.0,24196.5,0,,
2026-04-15,NIFTY,2026-04-15 09:52:00+05:30,NIFTY 50,SPOT,,,24196.95,24208.8,24195.3,24208.8,0,,
2026-04-15,NIFTY,2026-04-15 09:53:00+05:30,NIFTY 50,SPOT,,,24208.7,24214.15,24207.65,24212.9,0,,
2026-04-15,NIFTY,2026-04-15 09:54:00+05:30,NIFTY 50,SPOT,,,24212.85,24219.9,24211.3,24212.65,0,,
2026-04-15,NIFTY,2026-04-15 09:55:00+05:30,NIFTY 50,SPOT,,,24213.15,24222.65,24211.35,24221.65,0,,
2026-04-15,NIFTY,2026-04-15 09:56:00+05:30,NIFTY 50,SPOT,,,24219.5,24221.65,24215.35,24217.25,0,,
2026-04-15,NIFTY,2026-04-15 09:57:00+05:30,NIFTY 50,SPOT,,,24217.35,24224.55,24213.35,24221.5,0,,
2026-04-15,NIFTY,2026-04-15 09:58:00+05:30,NIFTY 50,SPOT,,,24221.2,24222.1,24205.05,24208.8,0,,
2026-04-15,NIFTY,2026-04-15 09:59:00+05:30,NIFTY 50,SPOT,,,24208.5,24217.25,24207.8,24216.0,0,,
2026-04-15,NIFTY,2026-04-15 10:00:00+05:30,NIFTY 50,SPOT,,,24216.8,24223.65,24216.8,24221.9,0,,
2026-04-15,NIFTY,2026-04-15 10:01:00+05:30,NIFTY 50,SPOT,,,24221.7,24230.6,24219.0,24219.4,0,,
2026-04-15,NIFTY,2026-04-15 10:02:00+05:30,NIFTY 50,SPOT,,,24218.2,24221.5,24214.05,24216.0,0,,
2026-04-15,NIFTY,2026-04-15 10:03:00+05:30,NIFTY 50,SPOT,,,24216.55,24225.1,24216.55,24224.25,0,,
2026-04-15,NIFTY,2026-04-15 10:04:00+05:30,NIFTY 50,SPOT,,,24226.2,24232.95,24226.2,24231.7,0,,
2026-04-15,NIFTY,2026-04-15 10:05:00+05:30,NIFTY 50,SPOT,,,24233.15,24238.8,24232.9,24235.35,0,,
2026-04-15,NIFTY,2026-04-15 10:06:00+05:30,NIFTY 50,SPOT,,,24234.95,24242.8,24234.95,24242.7,0,,
2026-04-15,NIFTY,2026-04-15 10:07:00+05:30,NIFTY 50,SPOT,,,24243.1,24247.35,24239.0,24240.9,0,,
2026-04-15,NIFTY,2026-04-15 10:08:00+05:30,NIFTY 50,SPOT,,,24241.25,24242.95,24233.3,24234.8,0,,
2026-04-15,NIFTY,2026-04-15 10:09:00+05:30,NIFTY 50,SPOT,,,24235.4,24239.5,24233.0,24235.65,0,,
2026-04-15,NIFTY,2026-04-15 10:10:00+05:30,NIFTY 50,SPOT,,,24236.55,24251.4,24234.3,24251.1,0,,
2026-04-15,NIFTY,2026-04-15 10:11:00+05:30,NIFTY 50,SPOT,,,24251.2,24251.9,24240.3,24243.35,0,,
2026-04-15,NIFTY,2026-04-15 10:12:00+05:30,NIFTY 50,SPOT,,,24241.85,24253.35,24241.85,24248.6,0,,
2026-04-15,NIFTY,2026-04-15 10:13:00+05:30,NIFTY 50,SPOT,,,24248.95,24249.95,24240.55,24241.65,0,,
2026-04-15,NIFTY,2026-04-15 10:14:00+05:30,NIFTY 50,SPOT,,,24241.75,24243.05,24239.65,24241.65,0,,
2026-04-15,NIFTY,2026-04-15 10:15:00+05:30,NIFTY 50,SPOT,,,24241.55,24248.85,24241.55,24247.9,0,,
2026-04-15,NIFTY,2026-04-15 10:16:00+05:30,NIFTY 50,SPOT,,,24248.2,24253.95,24247.65,24251.85,0,,
2026-04-15,NIFTY,2026-04-15 10:17:00+05:30,NIFTY 50,SPOT,,,24251.65,24254.6,24251.65,24253.5,0,,
2026-04-15,NIFTY,2026-04-15 10:18:00+05:30,NIFTY 50,SPOT,,,24252.85,24257.65,24251.55,24254.95,0,,
2026-04-15,NIFTY,2026-04-15 10:19:00+05:30,NIFTY 50,SPOT,,,24255.95,24264.25,24255.95,24260.4,0,,
2026-04-15,NIFTY,2026-04-15 10:20:00+05:30,NIFTY 50,SPOT,,,24261.1,24265.5,24259.65,24264.1,0,,
2026-04-15,NIFTY,2026-04-15 10:21:00+05:30,NIFTY 50,SPOT,,,24264.55,24265.15,24258.35,24259.15,0,,
2026-04-15,NIFTY,2026-04-15 10:22:00+05:30,NIFTY 50,SPOT,,,24259.25,24261.7,24249.85,24261.05,0,,
2026-04-15,NIFTY,2026-04-15 10:23:00+05:30,NIFTY 50,SPOT,,,24261.95,24270.6,24259.65,24268.0,0,,
