date,index,date_time,trading_symbol,type,option_type,strike,open,high,low,close,volume,open_interest,expiry_date
2026-04-15,SENSEX,2026-04-15 10:44:00+05:30,SENSEX,SPOT,,,78166.17,78170.34,78121.01,78133.17,0,,
2026-04-15,SENSEX,2026-04-15 10:45:00+05:30,SENSEX,SPOT,,,78132.72,78184.11,78130.37,78145.5,0,,
2026-04-15,SENSEX,2026-04-15 10:46:00+05:30,SENSEX,SPOT,,,78146.79,78162.75,78141.4,78162.75,0,,
2026-04-15,SENSEX,2026-04-15 10:47:00+05:30,SENSEX,SPOT,,,78163.49,78167.74,78151.67,78165.57,0,,
2026-04-15,SENSEX,2026-04-15 10:48:00+05:30,SENSEX,SPOT,,,78164.24,78189.95,78163.97,78179.14,0,,
2026-04-15,SENSEX,2026-04-15 10:49:00+05:30,SENSEX,SPOT,,,78182.13,78183.0,78157.39,78157.7,0,,
2026-04-15,SENSEX,2026-04-15 10:50:00+05:30,SENSEX,SPOT,,,78155.67,78162.43,78095.41,78100.36,0,,
2026-04-15,SENSEX,2026-04-15 10:51:00+05:30,SENSEX,SPOT,,,78101.74,78107.64,78080.19,78090.42,0,,
2026-04-15,SENSEX,2026-04-15 10:52:00+05:30,SENSEX,SPOT,,,78095.59,78099.27,78083.08,78083.08,0,,
2026-04-15,SENSEX,2026-04-15 10:53:00+05:30,SENSEX,SPOT,,,78084.95,78086.7,78046.43,78046.43,0,,
2026-04-15,SENSEX,2026-04-15 10:54:00+05:30,SENSEX,SPOT,,,78043.05,78084.66,78035.13,78083.63,0,,
2026-04-15,SENSEX,2026-04-15 10:55:00+05:30,SENSEX,SPOT,,,78079.65,78095.44,78073.46,78094.47,0,,
2026-04-15,SENSEX,2026-04-15 10:56:00+05:30,SENSEX,SPOT,,,78094.47,78095.08,78066.84,78071.88,0,,
2026-04-15,SENSEX,2026-04-15 10:57:00+05:30,SENSEX,SPOT,,,78073.47,78101.58,78072.72,78100.57,0,,
2026-04-15,SENSEX,2026-04-15 10:58:00+05:30,SENSEX,SPOT,,,78099.93,78108.79,78073.47,78075.56,0,,
2026-04-15,SENSEX,2026-04-15 10:59:00+05:30,SENSEX,SPOT,,,78074.26,78079.14,78056.36,78056.47,0,,
2026-04-15,SENSEX,2026-04-15 11:00:00+05:30,SENSEX,SPOT,,,78055.5,78056.72,78018.67,78020.77,0,,
2026-04-15,SENSEX,2026-04-15 11:01:00+05:30,SENSEX,SPOT,,,78015.9,78038.99,78014.96,78033.22,0,,
2026-04-15,SENSEX,2026-04-15 11:02:00+05:30,SENSEX,SPOT,,,78037.44,78052.68,78030.19,78040.66,0,,
2026-04-15,SENSEX,2026-04-15 11:03:00+05:30,SENSEX,SPOT,,,78040.71,78040.71,78006.91,78019.94,0,,
2026-04-15,SENSEX,2026-04-15 11:04:00+05:30,SENSEX,SPOT,,,78018.91,78030.47,78017.03,78024.68,0,,
2026-04-15,SENSEX,2026-04-15 11:05:00+05:30,SENSEX,SPOT,,,78025.28,78027.07,78000.9,78004.18,0,,
2026-04-15,SENSEX,2026-04-15 11:06:00+05:30,SENSEX,SPOT,,,78005.49,78005.49,77964.23,78001.49,0,,
2026-04-15,SENSEX,2026-04-15 11:07:00+05:30,SENSEX,SPOT,,,78000.32,78003.2,77944.7,77951.92,0,,
2026-04-15,SENSEX,2026-04-15 11:08:00+05:30,SENSEX,SPOT,,,77945.8,77985.21,77945.8,77974.93,0,,
