2026-04-16 17:31:47,362 | INFO | SENSEX BACKTEST SUMMARY
2026-04-16 17:31:47,363 | INFO | ============================================================
2026-04-16 17:31:47,365 | INFO | total_days: 1
2026-04-16 17:31:47,365 | INFO | profitable_days: 1
2026-04-16 17:31:47,366 | INFO | losing_days: 0
2026-04-16 17:31:47,367 | INFO | total_pnl: 46020.0
2026-04-16 17:31:47,367 | INFO | avg_daily_pnl: 46020.0
2026-04-16 17:31:47,368 | INFO | max_daily_profit: 46020.0
2026-04-16 17:31:47,370 | INFO | max_daily_loss: 46020.0
2026-04-16 17:31:47,372 | INFO | total_trades: 3
2026-04-16 17:31:47,372 | INFO | avg_trades_per_day: 3.0
2026-04-16 17:31:47,373 | INFO | winning_trades: 1
2026-04-16 17:31:47,373 | INFO | losing_trades: 2
2026-04-16 17:31:47,374 | INFO | avg_trade_pnl: 15340.0
2026-04-16 17:31:47,375 | INFO | max_trade_profit: 64760.0
2026-04-16 17:31:47,376 | INFO | max_trade_loss: -17000.0
2026-04-16 17:31:47,407 | INFO | Daily stats saved to results/sensex\SENSEX_daily_stats.csv
2026-04-16 17:31:47,416 | INFO | Trades saved to results/sensex\SENSEX_trades.csv
2026-04-16 17:31:47,426 | INFO | 
Results saved to: {'daily_stats': 'results/sensex\\SENSEX_daily_stats.csv', 'trades': 'results/sensex\\SENSEX_trades.csv', 'log': 'results/sensex\\SENSEX_log.csv', 'summary': 'results/sensex\\SENSEX_summary.json'}
2026-04-16 17:31:47,427 | INFO | 
============================================================
2026-04-16 17:31:47,428 | INFO | DAILY BREAKDOWN
2026-04-16 17:31:47,429 | INFO | ============================================================
2026-04-16 18:23:13,244 | INFO | Loaded 375 spot records, 197797 option records
2026-04-16 18:23:13,249 | INFO | ============================================================
2026-04-16 18:23:13,250 | INFO | OSTRAD BACKTEST: SENSEX
2026-04-16 18:23:13,251 | INFO | Period: 2026-04-15 to 2026-04-15
2026-04-16 18:23:13,251 | INFO | ============================================================
2026-04-16 18:23:13,367 | INFO | SENSEX: 375 spot candles, 197797 option records
2026-04-16 18:26:23,486 | INFO | 2026-04-15: Trades=2, Total=3, P&L=₹46,020.00
2026-04-16 18:26:23,518 | INFO | Daily stats saved to results/sensex\SENSEX_daily_stats.csv
2026-04-16 18:26:23,526 | INFO | Trades saved to results/sensex\SENSEX_trades.csv
2026-04-16 18:32:14,403 | INFO | Loaded 375 spot records, 197797 option records
2026-04-16 18:32:14,406 | INFO | ============================================================
2026-04-16 18:32:14,408 | INFO | OSTRAD BACKTEST: SENSEX
2026-04-16 18:32:14,408 | INFO | Period: 2026-04-15 to 2026-04-15
2026-04-16 18:32:14,410 | INFO | ============================================================
2026-04-16 18:32:14,529 | INFO | SENSEX: 375 spot candles, 197797 option records
2026-04-16 18:35:52,716 | INFO | 2026-04-15: Trades=2, Total=3, P&L=₹46,020.00
2026-04-16 18:35:52,831 | INFO | Daily stats saved to results/sensex\SENSEX_daily_stats.csv
2026-04-16 18:35:52,849 | INFO | Trades saved to results/sensex\SENSEX_trades.csv
